ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														5	13:48:06.535	123210798																		Unclassified	4						1	962	578	1009	582	985	580			257.09	164.03	269.61	162.81	263.35	163.42	210.97	52.31	554.99	276.63	47.64	552.68					556.33	556.33	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														14	13:48:06.543	123219121																1		Fixation	133						2	957	593	1008	583	982	588			255.64	159.29	269.26	162.32	262.45	160.80	210.99	52.34	555.14	276.67	47.70	552.85					556.48	556.48	4.07	4.27	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														22	13:48:06.551	123227452																1		Fixation	133						3	961	593	1008	597	984	595			256.84	159.06	269.31	157.87	263.08	158.47	211.00	52.29	555.20	276.67	47.67	552.89					556.53	556.53	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														30	13:48:06.560	123235777																1		Fixation	133						4	954	587	1009	599	981	593			254.85	161.29	269.64	157.37	262.24	159.33	210.93	52.35	555.34	276.64	47.67	553.00					556.69	556.69	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														39	13:48:06.568	123244131																1		Fixation	133						5	968	591	1007	602	987	596			258.70	159.82	268.97	156.28	263.83	158.05	210.95	52.36	555.55	276.69	47.70	553.09					556.89	556.89	4.39	4.21	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														47	13:48:06.576	123252419																1		Fixation	133						6	947	570	1002	587	974	578			252.95	166.75	267.83	161.25	260.39	164.00	210.98	52.32	555.65	276.69	47.67	553.06					556.99	556.99	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														55	13:48:06.585	123260791																1		Fixation	133						7	951	570	1000	586	975	578			254.19	166.66	267.11	161.46	260.65	164.06	210.90	52.37	555.81	276.66	47.66	553.11					557.16	557.16	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														64	13:48:06.593	123269125																1		Fixation	133						8	953	580	1001	587	977	583			254.79	163.61	267.39	161.30	261.09	162.46	210.94	52.40	556.00	276.71	47.69	553.17					557.35	557.35	3.96	4.12	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														72	13:48:06.601	123277435																1		Fixation	133						9	957	578	989	591	973	584			255.65	164.22	264.23	159.76	259.94	161.99	210.97	52.37	556.06	276.73	47.69	553.12					557.40	557.40	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														73	13:48:06.603										1	InstructionStart	Instruction Element					1		Fixation	133																																								
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														80	13:48:06.610	123285775																1		Fixation	133						10	961	579	992	582	976	580			256.83	163.65	265.19	162.68	261.01	163.17	210.89	52.46	556.16	276.67	47.70	553.20					557.51	557.51	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														89	13:48:06.618	123294082																1		Fixation	133						11	962	579	995	575	978	577			257.09	163.65	266.01	165.22	261.55	164.43	210.93	52.51	556.27	276.72	47.77	553.31					557.63	557.63	3.87	3.91	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														97	13:48:06.626	123302441																1		Fixation	133						12	973	581	1002	572	987	576			260.00	163.27	267.88	165.91	263.94	164.59	210.95	52.50	556.25	276.73	47.78	553.31					557.61	557.61	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														105	13:48:06.635	123310785																1		Fixation	133						13	969	573	996	577	982	575			259.04	165.65	266.04	164.38	262.54	165.02	210.87	52.52	556.27	276.67	47.77	553.43					557.63	557.63	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														114	13:48:06.643	123319086																1		Fixation	133						14	971	580	992	587	981	583			259.45	163.43	265.21	161.26	262.33	162.35	210.89	52.51	556.30	276.70	47.82	553.57					557.66	557.66	3.77	3.88	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														122	13:48:06.651	123327443																1		Fixation	133						15	962	564	991	591	976	577			257.16	168.81	264.75	159.74	260.95	164.27	210.92	52.46	556.21	276.71	47.78	553.62					557.56	557.56	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														130	13:48:06.660	123335789																1		Fixation	133						16	971	574	997	574	984	574			259.44	165.45	266.54	165.49	262.99	165.47	210.83	52.47	556.15	276.63	47.77	553.74					557.52	557.52	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														139	13:48:06.668	123344117																1		Fixation	133						17	971	574	995	573	983	573			259.35	165.49	265.76	165.60	262.55	165.54	210.72	52.51	556.13	276.55	47.89	553.85					557.51	557.51	3.67	3.86	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														147	13:48:06.676	123352441																	1	Saccade	42						18	980	575	991	583	985	579			261.87	164.94	264.80	162.59	263.34	163.77	210.65	52.59	555.97	276.38	47.99	553.83					557.36	557.36	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														155	13:48:06.685	123360784																	1	Saccade	42						19	897	525	927	541	912	533			239.82	181.59	247.68	176.34	243.75	178.97	210.52	52.69	555.89	276.21	48.09	553.87					557.31	557.31	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														164	13:48:06.693	123369116																	1	Saccade	42						20	848	459	887	499	867	479			226.60	202.95	236.90	189.96	231.75	196.45	210.60	52.74	555.61	276.23	48.12	553.31					557.02	557.02	3.67	3.73	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														172	13:48:06.701	123377440																	1	Saccade	42						21	833	463	868	456	850	459			222.52	201.82	231.96	203.97	227.24	202.90	210.66	52.69	555.43	276.25	48.07	552.98					556.84	556.84	-1.00	-1.00	0	0				
10/25/2016	3.4.5	Core Elements	New test	P01	Rec 01	10/25/2016	24271	1920 x 1080		I-VT filter														180	13:48:06.710	123385784																	1	Saccade	42						22	833	463	878	432	855	447			222.50	201.83	234.55	211.73	228.52	206.78	210.56	52.69	555.46	276.17	48.05	552.87					556.87	556.87	-1.00	-1.00	0	0				
